variant,size_label,size_bytes,iteration,phase,duration_ns
B_no_audit,1KB,1024,7,t2_t3_write,1659700
B_no_audit,1KB,1024,7,t3_t4_rename,0
B_no_audit,1KB,1024,7,t4_t5_audit,800
B_no_audit,1KB,1024,7,t5_t6_return,400
B_no_audit,1KB,1024,7,t0_t6_total,1931600
B_no_audit,1KB,1024,8,t0_t1_validation,299900
B_no_audit,1KB,1024,8,t1_t2_encode,4300
B_no_audit,1KB,1024,8,t2_t3_write,1468600
B_no_audit,1KB,1024,8,t3_t4_rename,0
B_no_audit,1KB,1024,8,t4_t5_audit,5800
B_no_audit,1KB,1024,8,t5_t6_return,5000
B_no_audit,1KB,1024,8,t0_t6_total,1783600
B_no_audit,1KB,1024,9,t0_t1_validation,272200
B_no_audit,1KB,1024,9,t1_t2_encode,4900
B_no_audit,1KB,1024,9,t2_t3_write,1461800
B_no_audit,1KB,1024,9,t3_t4_rename,0
B_no_audit,1KB,1024,9,t4_t5_audit,800
B_no_audit,1KB,1024,9,t5_t6_return,200
B_no_audit,1KB,1024,9,t0_t6_total,1739900
B_no_audit,1KB,1024,10,t0_t1_validation,341800
B_no_audit,1KB,1024,10,t1_t2_encode,8200
B_no_audit,1KB,1024,10,t2_t3_write,1498200
B_no_audit,1KB,1024,10,t3_t4_rename,0
B_no_audit,1KB,1024,10,t4_t5_audit,600
B_no_audit,1KB,1024,10,t5_t6_return,200
B_no_audit,1KB,1024,10,t0_t6_total,1849000
B_no_audit,1KB,1024,11,t0_t1_validation,361500
B_no_audit,1KB,1024,11,t1_t2_encode,5600
B_no_audit,1KB,1024,11,t2_t3_write,1233600
B_no_audit,1KB,1024,11,t3_t4_rename,0
B_no_audit,1KB,1024,11,t4_t5_audit,600
B_no_audit,1KB,1024,11,t5_t6_return,100
B_no_audit,1KB,1024,11,t0_t6_total,1601400
B_no_audit,1KB,1024,12,t0_t1_validation,215600
B_no_audit,1KB,1024,12,t1_t2_encode,4200
B_no_audit,1KB,1024,12,t2_t3_write,1333000
B_no_audit,1KB,1024,12,t3_t4_rename,0
B_no_audit,1KB,1024,12,t4_t5_audit,600
B_no_audit,1KB,1024,12,t5_t6_return,200
B_no_audit,1KB,1024,12,t0_t6_total,1553600
B_no_audit,1KB,1024,13,t0_t1_validation,247700
B_no_audit,1KB,1024,13,t1_t2_encode,3800
B_no_audit,1KB,1024,13,t2_t3_write,1136400
B_no_audit,1KB,1024,13,t3_t4_rename,0
B_no_audit,1KB,1024,13,t4_t5_audit,600
B_no_audit,1KB,1024,13,t5_t6_return,100
B_no_audit,1KB,1024,13,t0_t6_total,1388600
B_no_audit,1KB,1024,14,t0_t1_validation,207200
B_no_audit,1KB,1024,14,t1_t2_encode,3800
B_no_audit,1KB,1024,14,t2_t3_write,1525800
B_no_audit,1KB,1024,14,t3_t4_rename,0
B_no_audit,1KB,1024,14,t4_t5_audit,600
B_no_audit,1KB,1024,14,t5_t6_return,300
B_no_audit,1KB,1024,14,t0_t6_total,1737700
B_no_audit,1KB,1024,15,t0_t1_validation,299600
B_no_audit,1KB,1024,15,t1_t2_encode,3800
B_no_audit,1KB,1024,15,t2_t3_write,1323600
B_no_audit,1KB,1024,15,t3_t4_rename,0
B_no_audit,1KB,1024,15,t4_t5_audit,600
B_no_audit,1KB,1024,15,t5_t6_return,200
B_no_audit,1KB,1024,15,t0_t6_total,1627800
B_no_audit,1KB,1024,16,t0_t1_validation,263900
B_no_audit,1KB,1024,16,t1_t2_encode,4000
B_no_audit,1KB,1024,16,t2_t3_write,1467400
B_no_audit,1KB,1024,16,t3_t4_rename,0
B_no_audit,1KB,1024,16,t4_t5_audit,800
B_no_audit,1KB,1024,16,t5_t6_return,300
B_no_audit,1KB,1024,16,t0_t6_total,1736400
B_no_audit,1KB,1024,17,t0_t1_validation,269800
B_no_audit,1KB,1024,17,t1_t2_encode,6000
B_no_audit,1KB,1024,17,t2_t3_write,1273200
B_no_audit,1KB,1024,17,t3_t4_rename,0
B_no_audit,1KB,1024,17,t4_t5_audit,2100
B_no_audit,1KB,1024,17,t5_t6_return,900
B_no_audit,1KB,1024,17,t0_t6_total,1552000
B_no_audit,1KB,1024,18,t0_t1_validation,235300
B_no_audit,1KB,1024,18,t1_t2_encode,5500
B_no_audit,1KB,1024,18,t2_t3_write,1487300
B_no_audit,1KB,1024,18,t3_t4_rename,0
B_no_audit,1KB,1024,18,t4_t5_audit,700
B_no_audit,1KB,1024,18,t5_t6_return,200
B_no_audit,1KB,1024,18,t0_t6_total,1729000
B_no_audit,1KB,1024,19,t0_t1_validation,311700
B_no_audit,1KB,1024,19,t1_t2_encode,6600
B_no_audit,1KB,1024,19,t2_t3_write,1318400
B_no_audit,1KB,1024,19,t3_t4_rename,0
B_no_audit,1KB,1024,19,t4_t5_audit,600
B_no_audit,1KB,1024,19,t5_t6_return,100
B_no_audit,1KB,1024,19,t0_t6_total,1637400
B_no_audit,1KB,1024,20,t0_t1_validation,184700
B_no_audit,1KB,1024,20,t1_t2_encode,7700
B_no_audit,1KB,1024,20,t2_t3_write,1043000
B_no_audit,1KB,1024,20,t3_t4_rename,0
B_no_audit,1KB,1024,20,t4_t5_audit,500
B_no_audit,1KB,1024,20,t5_t6_return,200
B_no_audit,1KB,1024,20,t0_t6_total,1236100
B_no_audit,1KB,1024,21,t0_t1_validation,182400
B_no_audit,1KB,1024,21,t1_t2_encode,3100
B_no_audit,1KB,1024,21,t2_t3_write,1074200
B_no_audit,1KB,1024,21,t3_t4_rename,0
B_no_audit,1KB,1024,21,t4_t5_audit,600
B_no_audit,1KB,1024,21,t5_t6_return,200
B_no_audit,1KB,1024,21,t0_t6_total,1260500
B_no_audit,1KB,1024,22,t0_t1_validation,339300
B_no_audit,1KB,1024,22,t1_t2_encode,5500
B_no_audit,1KB,1024,22,t2_t3_write,1303600
B_no_audit,1KB,1024,22,t3_t4_rename,0
B_no_audit,1KB,1024,22,t4_t5_audit,500
B_no_audit,1KB,1024,22,t5_t6_return,200
B_no_audit,1KB,1024,22,t0_t6_total,1649100
B_no_audit,1KB,1024,23,t0_t1_validation,238600
B_no_audit,1KB,1024,23,t1_t2_encode,3600
B_no_audit,1KB,1024,23,t2_t3_write,1209500
B_no_audit,1KB,1024,23,t3_t4_rename,0
B_no_audit,1KB,1024,23,t4_t5_audit,500
B_no_audit,1KB,1024,23,t5_t6_return,200
B_no_audit,1KB,1024,23,t0_t6_total,1452400
B_no_audit,1KB,1024,24,t0_t1_validation,194300
B_no_audit,1KB,1024,24,t1_t2_encode,3500
B_no_audit,1KB,1024,24,t2_t3_write,1070800
B_no_audit,1KB,1024,24,t3_t4_rename,0
B_no_audit,1KB,1024,24,t4_t5_audit,600
B_no_audit,1KB,1024,24,t5_t6_return,100
B_no_audit,1KB,1024,24,t0_t6_total,1269300
B_no_audit,1KB,1024,25,t0_t1_validation,202200
B_no_audit,1KB,1024,25,t1_t2_encode,3800
B_no_audit,1KB,1024,25,t2_t3_write,1085800
B_no_audit,1KB,1024,25,t3_t4_rename,0
B_no_audit,1KB,1024,25,t4_t5_audit,500
B_no_audit,1KB,1024,25,t5_t6_return,200
B_no_audit,1KB,1024,25,t0_t6_total,1292500
B_no_audit,1KB,1024,26,t0_t1_validation,229500
B_no_audit,1KB,1024,26,t1_t2_encode,4800
B_no_audit,1KB,1024,26,t2_t3_write,2150100
B_no_audit,1KB,1024,26,t3_t4_rename,0
B_no_audit,1KB,1024,26,t4_t5_audit,1900
B_no_audit,1KB,1024,26,t5_t6_return,300
B_no_audit,1KB,1024,26,t0_t6_total,2386600
B_no_audit,1KB,1024,27,t0_t1_validation,576500
B_no_audit,1KB,1024,27,t1_t2_encode,23600
B_no_audit,1KB,1024,27,t2_t3_write,1748000
B_no_audit,1KB,1024,27,t3_t4_rename,0
B_no_audit,1KB,1024,27,t4_t5_audit,1000
B_no_audit,1KB,1024,27,t5_t6_return,300
B_no_audit,1KB,1024,27,t0_t6_total,2349400
B_no_audit,1KB,1024,28,t0_t1_validation,346200
B_no_audit,1KB,1024,28,t1_t2_encode,6400
B_no_audit,1KB,1024,28,t2_t3_write,2075200
B_no_audit,1KB,1024,28,t3_t4_rename,0
B_no_audit,1KB,1024,28,t4_t5_audit,1000
B_no_audit,1KB,1024,28,t5_t6_return,400
B_no_audit,1KB,1024,28,t0_t6_total,2429200
B_no_audit,1KB,1024,29,t0_t1_validation,345800
B_no_audit,1KB,1024,29,t1_t2_encode,6500
B_no_audit,1KB,1024,29,t2_t3_write,1714600
B_no_audit,1KB,1024,29,t3_t4_rename,0
B_no_audit,1KB,1024,29,t4_t5_audit,800
B_no_audit,1KB,1024,29,t5_t6_return,300
B_no_audit,1KB,1024,29,t0_t6_total,2068000
C_raw,1KB,1024,0,t0_t1_validation,325800
C_raw,1KB,1024,0,t1_t2_encode,6000
C_raw,1KB,1024,0,t2_t3_write,657300
C_raw,1KB,1024,0,t3_t4_rename,0
C_raw,1KB,1024,0,t4_t5_audit,0
C_raw,1KB,1024,0,t5_t6_return,0
C_raw,1KB,1024,0,t0_t6_total,989100
C_raw,1KB,1024,1,t0_t1_validation,346700
C_raw,1KB,1024,1,t1_t2_encode,3800
C_raw,1KB,1024,1,t2_t3_write,545100
C_raw,1KB,1024,1,t3_t4_rename,0
C_raw,1KB,1024,1,t4_t5_audit,0
C_raw,1KB,1024,1,t5_t6_return,0
C_raw,1KB,1024,1,t0_t6_total,895600
C_raw,1KB,1024,2,t0_t1_validation,382300
C_raw,1KB,1024,2,t1_t2_encode,3000
C_raw,1KB,1024,2,t2_t3_write,500700
C_raw,1KB,1024,2,t3_t4_rename,0
C_raw,1KB,1024,2,t4_t5_audit,0
C_raw,1KB,1024,2,t5_t6_return,0
C_raw,1KB,1024,2,t0_t6_total,886000
C_raw,1KB,1024,3,t0_t1_validation,328700
C_raw,1KB,1024,3,t1_t2_encode,3300
C_raw,1KB,1024,3,t2_t3_write,564300
C_raw,1KB,1024,3,t3_t4_rename,0
C_raw,1KB,1024,3,t4_t5_audit,0
C_raw,1KB,1024,3,t5_t6_return,0
C_raw,1KB,1024,3,t0_t6_total,896300
C_raw,1KB,1024,4,t0_t1_validation,223600
C_raw,1KB,1024,4,t1_t2_encode,2900
C_raw,1KB,1024,4,t2_t3_write,368300
C_raw,1KB,1024,4,t3_t4_rename,0
C_raw,1KB,1024,4,t4_t5_audit,0
C_raw,1KB,1024,4,t5_t6_return,0
C_raw,1KB,1024,4,t0_t6_total,594800
C_raw,1KB,1024,5,t0_t1_validation,223200
C_raw,1KB,1024,5,t1_t2_encode,8400
C_raw,1KB,1024,5,t2_t3_write,338200
C_raw,1KB,1024,5,t3_t4_rename,0
C_raw,1KB,1024,5,t4_t5_audit,0
C_raw,1KB,1024,5,t5_t6_return,0
C_raw,1KB,1024,5,t0_t6_total,569800
C_raw,1KB,1024,6,t0_t1_validation,198500
C_raw,1KB,1024,6,t1_t2_encode,2500
C_raw,1KB,1024,6,t2_t3_write,329900
C_raw,1KB,1024,6,t3_t4_rename,0
C_raw,1KB,1024,6,t4_t5_audit,0
C_raw,1KB,1024,6,t5_t6_return,0
C_raw,1KB,1024,6,t0_t6_total,530900
C_raw,1KB,1024,7,t0_t1_validation,211800
C_raw,1KB,1024,7,t1_t2_encode,2500
C_raw,1KB,1024,7,t2_t3_write,438200
C_raw,1KB,1024,7,t3_t4_rename,0
C_raw,1KB,1024,7,t4_t5_audit,0
C_raw,1KB,1024,7,t5_t6_return,0
C_raw,1KB,1024,7,t0_t6_total,652500
C_raw,1KB,1024,8,t0_t1_validation,222700
C_raw,1KB,1024,8,t1_t2_encode,2900
C_raw,1KB,1024,8,t2_t3_write,341700
C_raw,1KB,1024,8,t3_t4_rename,0
C_raw,1KB,1024,8,t4_t5_audit,0
C_raw,1KB,1024,8,t5_t6_return,0
C_raw,1KB,1024,8,t0_t6_total,567300
C_raw,1KB,1024,9,t0_t1_validation,217300
C_raw,1KB,1024,9,t1_t2_encode,2800
C_raw,1KB,1024,9,t2_t3_write,326200
C_raw,1KB,1024,9,t3_t4_rename,0
C_raw,1KB,1024,9,t4_t5_audit,0
C_raw,1KB,1024,9,t5_t6_return,0
C_raw,1KB,1024,9,t0_t6_total,546300
C_raw,1KB,1024,10,t0_t1_validation,340900
C_raw,1KB,1024,10,t1_t2_encode,5600
C_raw,1KB,1024,10,t2_t3_write,677600
C_raw,1KB,1024,10,t3_t4_rename,0
C_raw,1KB,1024,10,t4_t5_audit,0
C_raw,1KB,1024,10,t5_t6_return,0
C_raw,1KB,1024,10,t0_t6_total,1024100
C_raw,1KB,1024,11,t0_t1_validation,479100
C_raw,1KB,1024,11,t1_t2_encode,16600
C_raw,1KB,1024,11,t2_t3_write,738200
C_raw,1KB,1024,11,t3_t4_rename,0
C_raw,1KB,1024,11,t4_t5_audit,0
C_raw,1KB,1024,11,t5_t6_return,0
C_raw,1KB,1024,11,t0_t6_total,1233900
C_raw,1KB,1024,12,t0_t1_validation,323400
C_raw,1KB,1024,12,t1_t2_encode,4000
C_raw,1KB,1024,12,t2_t3_write,506100
C_raw,1KB,1024,12,t3_t4_rename,0
C_raw,1KB,1024,12,t4_t5_audit,0
C_raw,1KB,1024,12,t5_t6_return,0
C_raw,1KB,1024,12,t0_t6_total,833500
C_raw,1KB,1024,13,t0_t1_validation,315900
C_raw,1KB,1024,13,t1_t2_encode,5200
C_raw,1KB,1024,13,t2_t3_write,404400
C_raw,1KB,1024,13,t3_t4_rename,0
C_raw,1KB,1024,13,t4_t5_audit,0
C_raw,1KB,1024,13,t5_t6_return,0
